ID,NAME,WEIGHT,CAP,WATER STATUS,STATION,SETUP TIME,READY DATETIME,Latitude,Longitude,DistanceKm,LAT,LNG,KM
B_002,BPS 4,400,2850,SEA,ST_001,20,2024-02-05 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_003,SP 29,400,2250,SEA,ST_001,20,2024-02-06 08:30:00,13.1885,100.815,39,13.1885,100.815,39
B_004,SP 30,400,2100,SEA,ST_001,20,2024-01-18 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_005,SP 31,400,2100,SEA,ST_001,20,2024-02-03 09:40:00,13.1885,100.815,39,13.1885,100.815,39
B_006,SP 32,400,2100,SEA,ST_001,20,2024-02-06 09:30:00,13.1885,100.815,39,13.1885,100.815,39
B_007,SP 42,400,1800,SEA,ST_001,20,2024-02-05 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_008,SP 43,400,1800,SEA,ST_001,20,2024-01-30 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_009,SP 46,400,2150,SEA,ST_001,20,2024-01-18 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_010,SP 53,400,1800,SEA,ST_001,20,2024-01-06 07:00:00,13.1885,100.815,39,13.1885,100.815,39
B_011,SP 55,400,1800,SEA,ST_001,20,2024-02-03 08:00:00,13.1885,100.815,39,13.1885,100.815,39
B_012,SP 56,400,1800,SEA,ST_001,20,2024-02-04 09:40:00,13.1885,100.815,39,13.1885,100.815,39
B_013,SP 57,400,2100,SEA,ST_001,20,2024-02-01 09:10:00,13.1885,100.815,39,13.1885,100.815,39
B_014,SP 59,400,2100,SEA,ST_001,20,2024-02-12 09:50:00,13.1885,100.815,39,13.1885,100.815,39
B_015,SP 63,400,2200,SEA,ST_001,20,2024-01-30 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_016,SP 64,400,2300,SEA,ST_001,20,2024-01-28 04:55:00,13.1885,100.815,39,13.1885,100.815,39
B_017,SP 65,400,2300,SEA,ST_001,20,2024-01-19 07:15:00,13.1885,100.815,39,13.1885,100.815,39
B_018,SP 75,400,2100,SEA,ST_001,20,2024-02-03 08:00:00,13.1885,100.815,39,13.1885,100.815,39
B_019,SP 76,400,2100,SEA,ST_001,20,2024-01-21 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_020,SP 77,400,2100,SEA,ST_001,20,2024-02-18 08:20:00,13.1885,100.815,39,13.1885,100.815,39
B_021,SPI 01,400,2600,SEA,ST_001,20,2024-02-06 08:30:00,13.1885,100.815,39,13.1885,100.815,39
B_022,SPI 02,400,2600,SEA,ST_001,20,2024-01-19 08:50:00,13.1885,100.815,39,13.1885,100.815,39
B_023,SPI 03,400,2600,SEA,ST_001,20,2024-02-02 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_024,SPI 04,400,2600,SEA,ST_001,20,2024-01-16 10:25:00,13.1885,100.815,39,13.1885,100.815,39
B_025,SPI 05,400,2600,SEA,ST_001,20,2024-02-03 09:40:00,13.1885,100.815,39,13.1885,100.815,39
B_026,SPI 06,400,2700,SEA,ST_001,20,2024-01-31 06:10:00,13.1885,100.815,39,13.1885,100.815,39
B_027,SPI 09,400,2900,SEA,ST_001,20,2024-01-19 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_028,SPI 12,400,2900,SEA,ST_001,20,2024-02-04 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_029,SPI 13,400,2900,SEA,ST_001,20,2024-01-16 10:45:00,13.1885,100.815,39,13.1885,100.815,39
B_030,SPI 15,400,2900,SEA,ST_001,20,2024-01-30 06:30:00,13.1885,100.815,39,13.1885,100.815,39
B_031,SPI 17,400,2900,SEA,ST_001,20,2024-02-05 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_032,SPI 18,400,2900,SEA,ST_001,20,2024-01-17 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_033,จากัวร์ 02,400,3250,SEA,ST_001,20,2024-01-17 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_034,จากัวร์ 03,400,3250,SEA,ST_001,20,2024-01-18 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_035,จากัวร์ 04,400,2900,SEA,ST_001,20,2024-01-18 08:05:00,13.1885,100.815,39,13.1885,100.815,39
B_036,จากัวร์ 05,400,3250,SEA,ST_001,20,2024-01-18 08:05:00,13.1885,100.815,39,13.1885,100.815,39
B_037,จากัวร์ 08,400,2900,SEA,ST_001,20,2024-01-18 07:30:00,13.1885,100.815,39,13.1885,100.815,39
B_038,จากัวร์ 09,400,3100,SEA,ST_001,20,2024-01-20 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_039,จากัวร์ 10,400,2250,SEA,ST_001,20,2024-01-20 08:00:00,13.1885,100.815,39,13.1885,100.815,39
B_040,จากัวร์ 11,400,2250,SEA,ST_001,20,2024-02-03 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_041,จากัวร์ 12,400,3500,SEA,ST_001,20,2024-01-19 08:50:00,13.1885,100.815,39,13.1885,100.815,39
B_042,จากัวร์ 13,400,3000,SEA,ST_001,20,2024-01-21 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_043,จากัวร์ 15,400,2250,SEA,ST_001,20,2024-02-07 07:40:00,13.1885,100.815,39,13.1885,100.815,39
B_044,จากัวร์ 16,400,3500,SEA,ST_001,20,2024-01-26 06:50:00,13.1885,100.815,39,13.1885,100.815,39
B_045,จากัวร์ 17,400,2250,SEA,ST_001,20,2024-02-03 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_046,จากัวร์ 18,400,2250,SEA,ST_001,20,2024-01-19 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_047,จากัวร์ 19,400,2250,SEA,ST_001,20,2024-01-18 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_048,จากัวร์ 21,400,2250,SEA,ST_001,20,2024-01-30 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_049,จากัวร์ 22,400,2250,SEA,ST_001,20,2024-01-21 08:40:00,13.1885,100.815,39,13.1885,100.815,39
B_050,จากัวร์ 24,400,2250,SEA,ST_001,20,2024-02-02 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_051,จากัวร์ 25,400,2250,SEA,ST_001,20,2024-02-02 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_052,จากัวร์ 26,400,2250,SEA,ST_001,20,2024-02-05 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_053,จากัวร์ 27,400,2250,SEA,ST_001,20,2024-01-30 06:00:00,13.1885,100.815,39,13.1885,100.815,39
B_054,จากัวร์ 28,400,2250,SEA,ST_001,20,2024-02-02 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_055,จากัวร์ 30,400,4750,SEA,ST_001,20,2024-02-02 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_056,จากัวร์ 31,400,2250,SEA,ST_001,20,2024-02-03 08:00:00,13.1885,100.815,39,13.1885,100.815,39
B_057,จากัวร์ 32,400,2250,SEA,ST_001,20,2024-01-19 07:20:00,13.1885,100.815,39,13.1885,100.815,39
B_058,จากัวร์ 34,400,2250,SEA,ST_001,20,2024-01-18 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_059,จากัวร์ 35,400,2250,SEA,ST_001,20,2024-01-21 08:00:00,13.1885,100.815,39,13.1885,100.815,39
B_060,จากัวร์ 36,400,2250,SEA,ST_001,20,2024-01-30 08:10:00,13.1885,100.815,39,13.1885,100.815,39
B_061,จากัวร์ 37,400,2250,SEA,ST_001,20,2024-01-18 09:00:00,13.1885,100.815,39,13.1885,100.815,39
B_062,จากัวร์ 40,400,2500,SEA,ST_001,20,2024-02-06 08:30:00,13.1885,100.815,39,13.1885,100.815,39
B_063,จากัวร์ 41,400,2500,SEA,ST_001,20,2024-01-30 06:00:00,13.1885,100.815,39,13.1885,100.815,39
B_064,จากัวร์ 42,400,2500,SEA,ST_001,20,2024-01-19 07:15:00,13.1885,100.815,39,13.1885,100.815,39
B_065,จากัวร์ 43,400,2500,SEA,ST_001,20,2024-01-20 07:50:00,13.1885,100.815,39,13.1885,100.815,39
B_066,จากัวร์ 44,400,2500,SEA,ST_001,20,2024-01-21 08:40:00,13.1885,100.815,39,13.1885,100.815,39
