ID,NAME,ORDER ID,StartStationId,DestEntityId,DestStationId,ORDER TYPE,LAT,LNG
SHP_008,ANNA J,001_Test_export,ST_016,SHP_008,ST_001,EXPORT,13.1885,100.815
SHP_005,Fermita,002_Test_Import,ST_001,Cust_007,ST_016,IMPORT,13.1885,100.815
SHP_001,SPAR CORONA,ODR_001,ST_001,Cust_005,ST_013,IMPORT,13.1885,100.815
SHP_002,TAI KNIGHT,ODR_002,ST_001,Cust_002,ST_007,IMPORT,13.1885,100.815
SHP_003,JUBILANT DEVOTION,ODR_003,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_004,ISEAGO GRACE,ODR_004,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_005,Fermita,ODR_005,ST_001,Cust_004,ST_012,IMPORT,13.1885,100.815
SHP_006,PIONEER ELITE,ODR_006,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_007,SEA DESTINY,ODR_007,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_008,ANNA J,ODR_008,ST_001,Cust_002,ST_007,IMPORT,13.1885,100.815
SHP_009,IVS KINGLET,ODR_009,ST_001,Cust_012,ST_034,IMPORT,13.1885,100.815
SHP_010,SARAH,ODR_010,ST_001,Cust_003,ST_010,IMPORT,13.1885,100.815
SHP_011,MYTHOS,ODR_011,ST_001,Cust_017,ST_050,IMPORT,13.1885,100.815
SHP_012,TRUONG AN 05,ODR_012,ST_001,Cust_005,ST_013,IMPORT,13.1885,100.815
SHP_013,SSI SPLENDID,ODR_013,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_014,LIMCO MARU,ODR_014,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_007,SEA DESTINY,ODR_015,ST_047,SHP_007,ST_001,EXPORT,13.1885,100.815
SHP_009,IVS KINGLET,ODR_016,ST_049,SHP_009,ST_001,EXPORT,13.1885,100.815
SHP_009,IVS KINGLET,ODR_017,ST_045,SHP_009,ST_001,EXPORT,13.1885,100.815
SHP_012,TRUONG AN 05,ODR_020,ST_001,Cust_010,ST_032,IMPORT,13.1885,100.815
SHP_013,SSI SPLENDID,ODR_021,ST_001,Cust_013,ST_045,IMPORT,13.1885,100.815
SHP_014,LIMCO MARU,ODR_022,ST_050,SHP_014,ST_001,EXPORT,13.1885,100.815
SHP_003,JUBILANT DEVOTION,Order25,ST_001,Cust_011,ST_033,IMPORT,13.1885,100.815
SHP_008,ANNA J,order_1758724647505_7jip34o32,ST_001,Cust_015,ST_047,IMPORT,13.1885,100.815
SHP_008,ANNA J,order_26,ST_001,Cust_010,ST_032,IMPORT,13.1885,100.815
SHP_005,Fermita,order_27,ST_001,Cust_010,ST_032,IMPORT,13.1885,100.815
