ID,TYPE,START POINT,DES POINT,START STATION ID,DES STATION ID,PRODUCT,DEMAND,START DATETIME,DUE DATETIME,LD+ULD RATE,CRANE RATE1,CRANE RATE2,CRANE RATE3,CRANE RATE4,CRANE RATE5,CRANE RATE6,CRANE RATE7,CRANE RATE8,CRANE RATE9,TIME READY CR1,TIME READY CR2,TIME READY CR3,TIME READY CR4,TIME READY CR5,TIME READY CR6,TIME READY CR7,TIME READY CR8,TIME READY CR9
ODR_001,IMPORT,SHP_001,Cust_005,ST_001,ST_013,ข้าวสาลี,57350,2024-01-09 17:50:00,2024-02-08 10:15:00,1800,270,280,280,210,260,240,270,250,230,0,0,0,0,0,0,0,0,0
ODR_002,IMPORT,SHP_002,Cust_002,ST_001,ST_007,ถั่วเม็ด,72800,2024-01-10 06:55:00,2024-02-27 14:25:00,1800,230,230,240,250,220,260,270,280,210,0,0,0,0,0,0,0,0,0
ODR_003,IMPORT,SHP_003,Cust_015,ST_001,ST_047,กากถั่ว,112950,2024-01-15 17:00:00,2024-02-22 00:10:00,1800,240,260,280,260,240,240,240,250,210,0,0,0,0,0,0,0,0,0
ODR_004,IMPORT,SHP_004,Cust_015,ST_001,ST_047,ข้าวโพด,13350,2024-01-23 13:30:00,2024-02-15 06:20:00,600,270,200,270,260,240,270,0,0,0,0,0,0,0,0,0,0,0,0
ODR_005,IMPORT,SHP_005,Cust_004,ST_001,ST_012,ข้าวสาลี,6750,2024-01-25 11:25:00,2024-02-08 14:30:00,600,210,270,270,210,220,240,0,0,0,0,0,0,0,0,0,0,0,0
ODR_006,IMPORT,SHP_006,Cust_015,ST_001,ST_047,ข้าวโพด,11300,2024-01-25 11:25:00,2024-02-11 13:50:00,600,250,270,230,230,250,220,0,0,0,0,0,0,0,0,0,0,0,0
ODR_007,IMPORT,SHP_007,Cust_015,ST_001,ST_047,ปุ๋ย,15950,2024-01-26 08:40:00,2024-02-16 02:00:00,600,200,250,280,240,240,260,0,0,0,0,0,0,0,0,0,0,0,0
ODR_008,IMPORT,SHP_008,Cust_002,ST_001,ST_007,ถั่วเม็ด,64450,2024-01-28 09:30:00,2024-02-17 08:00:00,1800,220,210,270,260,240,230,210,270,260,0,0,0,0,0,0,0,0,0
ODR_009,IMPORT,SHP_009,Cust_012,ST_001,ST_034,ปุ๋ย,3250,2024-01-30 10:45:00,2024-02-07 06:30:00,600,220,210,240,270,280,0,0,0,0,0,0,0,0,0,0,0,0,0
ODR_010,IMPORT,SHP_010,Cust_003,ST_001,ST_010,ข้าวสาลี,11800,2024-02-01 07:50:00,2024-02-28 08:20:00,1800,210,200,250,270,270,210,0,0,0,0,0,0,0,0,0,0,0,0
ODR_011,IMPORT,SHP_011,Cust_017,ST_001,ST_050,ปุ๋ย,23450,2024-02-03 16:20:00,2024-02-25 12:30:00,1800,230,250,240,210,200,250,270,240,260,0,0,0,0,0,0,0,0,0
ODR_012,IMPORT,SHP_012,Cust_005,ST_001,ST_013,ปุ๋ย,6150,2024-02-04 13:10:00,2024-02-18 14:25:00,600,230,210,260,260,260,200,0,0,0,0,0,0,0,0,0,0,0,0
ODR_013,IMPORT,SHP_013,Cust_015,ST_001,ST_047,ปุ๋ย,8700,2024-02-09 10:00:00,2024-02-15 13:50:00,600,240,250,260,280,210,270,0,0,0,0,0,0,0,0,0,0,0,0
ODR_014,IMPORT,SHP_014,Cust_015,ST_001,ST_047,กากปาล์ม,4050,2024-02-10 06:00:00,2024-02-19 11:10:00,600,200,240,220,250,220,230,220,240,200,0,0,0,0,0,0,0,0,0
