ID,TYPE,START POINT,DES POINT,START STATION ID,DES STATION ID,PRODUCT,DEMAND,START DATETIME,DUE DATETIME,LD+ULD RATE,CRANE RATE1,CRANE RATE2,CRANE RATE3,CRANE RATE4,CRANE RATE5,CRANE RATE6,CRANE RATE7,CRANE RATE8,CRANE RATE9,TIME READY CR1,TIME READY CR2,TIME READY CR3,TIME READY CR4,TIME READY CR5,TIME READY CR6,TIME READY CR7,TIME READY CR8,TIME READY CR9
ODR_001,IMPORT,SHP_059,Cust_010,ST_001,ST_032,ปุ๋ย,16000,2025-01-13 09:29:00,2025-01-23 09:29:00,1500,270,280,280,210,260,240,270,250,230,0,0,0,0,0,0,0,0,0
ODR_002,IMPORT,SHP_355,Cust_019,ST_001,ST_050,ข้าวสาร,69000,2025-01-02 13:15:00,2025-01-12 13:15:00,1500,230,230,240,250,220,260,270,280,210,0,0,0,0,0,0,0,0,0
ODR_003,IMPORT,SHP_200,Cust_020,ST_001,ST_050,กากถั่ว,28000,2025-01-02 17:22:00,2025-01-12 17:22:00,2000,240,260,280,260,240,240,240,250,210,0,0,0,0,0,0,0,0,0
ODR_004,IMPORT,SHP_151,Cust_018,ST_001,ST_049,ถั่วเม็ด,69000,2025-01-06 12:39:00,2025-01-16 12:39:00,1500,270,200,270,260,240,270,200,230,210,0,0,0,0,0,0,0,0,0
ODR_005,IMPORT,SHP_309,Cust_017,ST_001,ST_047,ถั่วเม็ด,4000,2025-01-19 08:11:00,2025-01-29 08:11:00,1500,210,270,270,210,220,240,260,230,260,0,0,0,0,0,0,0,0,0
ODR_006,EXPORT,Cust_012,SHP_295,ST_034,ST_001,กากถั่ว,27000,2025-01-31 09:41:00,2025-02-10 09:41:00,2000,250,270,230,230,250,220,270,210,280,0,0,0,0,0,0,0,0,0
ODR_007,EXPORT,Cust_015,SHP_007,ST_046,ST_001,ข้าวสาร,71000,2025-01-14 17:11:00,2025-01-24 17:11:00,1500,200,250,280,240,240,260,250,260,230,0,0,0,0,0,0,0,0,0
ODR_008,EXPORT,Cust_010,SHP_344,ST_032,ST_001,ข้าวสาร,45000,2025-01-03 12:50:00,2025-01-13 12:50:00,1500,220,210,270,260,240,230,210,270,260,0,0,0,0,0,0,0,0,0
ODR_009,EXPORT,Cust_015,SHP_078,ST_046,ST_001,ข้าวสาร,19000,2025-01-15 14:10:00,2025-01-25 14:10:00,2000,220,210,240,270,280,230,270,230,220,0,0,0,0,0,0,0,0,0
ODR_010,EXPORT,Cust_015,SHP_288,ST_046,ST_001,ข้าวสาร,34000,2025-01-11 08:59:00,2025-01-21 08:59:00,1500,210,200,250,270,270,210,270,250,230,0,0,0,0,0,0,0,0,0
ODR_011,IMPORT,SHP_257,Cust_015,ST_001,ST_046,ปุ๋ย,70000,2025-01-10 15:03:00,2025-01-20 15:03:00,2000,230,250,240,210,200,250,270,240,260,0,0,0,0,0,0,0,0,0
ODR_012,IMPORT,SHP_358,Cust_015,ST_001,ST_046,ข้าวสาร,4000,2025-01-12 13:50:00,2025-01-22 13:50:00,1500,230,210,260,260,260,200,220,210,230,0,0,0,0,0,0,0,0,0
ODR_013,IMPORT,SHP_067,Cust_017,ST_001,ST_047,กากถั่ว,37000,2025-01-02 08:16:00,2025-01-12 08:16:00,1500,240,250,260,280,210,270,270,210,250,0,0,0,0,0,0,0,0,0
ODR_014,IMPORT,SHP_066,Cust_018,ST_001,ST_049,ถั่วเม็ด,68000,2025-01-22 08:19:00,2025-02-01 08:19:00,2000,200,240,220,250,220,230,220,240,200,0,0,0,0,0,0,0,0,0
ODR_015,IMPORT,SHP_233,Cust_017,ST_001,ST_047,ถั่วเม็ด,72000,2025-01-03 12:11:00,2025-01-13 12:11:00,1500,260,260,200,260,250,250,260,250,220,0,0,0,0,0,0,0,0,0
ODR_016,IMPORT,SHP_355,Cust_013,ST_001,ST_045,กากถั่ว,69000,2025-01-07 12:03:00,2025-01-17 12:03:00,1500,270,270,210,270,260,270,280,200,240,0,0,0,0,0,0,0,0,0
ODR_017,IMPORT,SHP_257,Cust_010,ST_001,ST_032,กากถั่ว,70000,2025-01-25 16:45:00,2025-02-04 16:45:00,1500,220,200,270,240,280,210,270,200,220,0,0,0,0,0,0,0,0,0
ODR_018,IMPORT,SHP_142,Cust_010,ST_001,ST_032,กากถั่ว,47000,2025-01-18 17:46:00,2025-01-28 17:46:00,2000,220,220,270,200,230,260,230,240,220,0,0,0,0,0,0,0,0,0
