ID,TYPE,START POINT,DES POINT,START STATION ID,DES STATION ID,PRODUCT,DEMAND,START DATETIME,DUE DATETIME,LD+ULD RATE,CRANE RATE1,CRANE RATE2,CRANE RATE3,CRANE RATE4,CRANE RATE5,CRANE RATE6,CRANE RATE7,CRANE RATE8,CRANE RATE9,TIME READY CR1,TIME READY CR2,TIME READY CR3,TIME READY CR4,TIME READY CR5,TIME READY CR6,TIME READY CR7,TIME READY CR8,TIME READY CR9
001_Test_export,EXPORT,Cust_007,SHP_008,ST_016,ST_001,ýýýýýýýýýýýý,10000,9/30/2025 17:00,10/10/2025 16:55,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002_Test_Import,IMPORT,SHP_005,Cust_007,ST_001,ST_016,ýýýýýýýýýýýý,10000,10/1/2025 16:00,10/10/2025 16:00,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODR_001,IMPORT,SHP_001,Cust_005,ST_001,ST_013,ýýýýýýýýýýýýýýýýýýýýýýýý,57350,1/9/2025 17:50,2/8/2025 10:15,1800,270,280,280,210,260,240,270,250,230,0,0,0,0,0,0,0,0,0
ODR_002,IMPORT,SHP_002,Cust_002,ST_001,ST_007,ýýýýýýýýýýýýýýýýýýýýýýýý,72800,1/15/2025 6:55,2/27/2025 14:25,1800,230,230,240,250,220,260,270,280,210,0,0,0,0,0,0,0,0,0
ODR_003,IMPORT,SHP_003,Cust_015,ST_001,ST_047,ýýýýýýýýýýýýýýýýýýýýý,112950,1/19/2025 17:00,2/27/2025 0:10,1800,240,260,280,260,240,240,240,250,210,0,0,0,0,0,0,0,0,0
ODR_004,IMPORT,SHP_004,Cust_015,ST_001,ST_047,ýýýýýýýýýýýýýýýýýýýýý,13350,1/23/2025 13:30,2/15/2025 6:20,600,270,200,270,260,240,270,0,0,0,0,0,0,0,0,0,0,0,0
ODR_005,IMPORT,SHP_005,Cust_004,ST_001,ST_012,ýýýýýýýýýýýýýýýýýýýýýýýý,6750,1/25/2025 11:25,2/8/2025 14:30,600,210,270,270,210,220,240,0,0,0,0,0,0,0,0,0,0,0,0
ODR_006,IMPORT,SHP_006,Cust_015,ST_001,ST_047,ýýýýýýýýýýýýýýýýýýýýý,11300,1/25/2025 11:25,2/11/2025 13:50,600,250,270,230,230,250,220,0,0,0,0,0,0,0,0,0,0,0,0
ODR_007,IMPORT,SHP_007,Cust_015,ST_001,ST_047,ýýýýýýýýýýýý,15950,1/26/2025 8:40,2/16/2025 2:00,600,200,250,280,240,240,260,0,0,0,0,0,0,0,0,0,0,0,0
ODR_008,IMPORT,SHP_008,Cust_002,ST_001,ST_007,ýýýýýýýýýýýýýýýýýýýýýýýý,64450,1/28/2025 9:30,2/17/2025 8:00,1800,220,210,270,260,240,230,210,270,260,0,0,0,0,0,0,0,0,0
ODR_009,IMPORT,SHP_009,Cust_012,ST_001,ST_034,ýýýýýýýýýýýý,3250,1/30/2025 10:45,2/7/2025 6:30,600,220,210,240,270,280,0,0,0,0,0,0,0,0,0,0,0,0,0
ODR_010,IMPORT,SHP_010,Cust_003,ST_001,ST_010,ýýýýýýýýýýýýýýýýýýýýýýýý,11800,2/1/2025 7:50,2/28/2025 8:20,1800,210,200,250,270,270,210,0,0,0,0,0,0,0,0,0,0,0,0
ODR_011,IMPORT,SHP_011,Cust_017,ST_001,ST_050,ýýýýýýýýýýýý,23450,2/3/2025 16:20,2/25/2025 12:30,1800,230,250,240,210,200,250,270,240,260,0,0,0,0,0,0,0,0,0
ODR_012,IMPORT,SHP_012,Cust_005,ST_001,ST_013,ýýýýýýýýýýýý,6150,2/4/2025 13:10,2/18/2025 14:25,600,230,210,260,260,260,200,0,0,0,0,0,0,0,0,0,0,0,0
ODR_013,IMPORT,SHP_013,Cust_015,ST_001,ST_047,ýýýýýýýýýýýý,8700,2/9/2025 10:00,2/15/2025 13:50,600,240,250,260,280,210,270,0,0,0,0,0,0,0,0,0,0,0,0
ODR_014,IMPORT,SHP_014,Cust_015,ST_001,ST_047,ýýýýýýýýýýýýýýýýýýýýýýýý,4050,2/10/2025 6:00,2/19/2025 11:10,600,200,240,220,250,220,230,220,240,200,0,0,0,0,0,0,0,0,0
ODR_015,EXPORT,Cust_015,SHP_007,ST_047,ST_001,ýýýýýýýýýýýý,30000,2/2/2025 8:40,2/26/2025 2:00,600,200,250,280,240,240,260,0,0,0,0,0,0,0,0,0,0,0,0
ODR_016,EXPORT,Cust_016,SHP_009,ST_049,ST_001,ýýýýýýýýýýýý,60000,2/1/2025 18:21,3/1/2025 18:21,1498.3,400,300,300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODR_017,EXPORT,Cust_013,SHP_009,ST_045,ST_001,ýýýýýýýýýýýý,32300,9/17/2025 2:09,9/18/2025 2:09,1600,300,300,300,299,300,298,0,0,0,0,0,0,0,0,0,0,0,0
ODR_020,IMPORT,SHP_012,Cust_010,ST_001,ST_032,ýýýýýýýýýýýý,200000,10/11/2025 0:00,11/1/2025 0:00,5000,450,480,480,480,480,480,480,480,480,0,0,0,0,0,0,0,0,0
ODR_021,IMPORT,SHP_013,Cust_013,ST_001,ST_045,ýýýýýýýýýýýý,100000,10/1/2025 0:00,11/1/2025 0:00,5000,430,430,430,430,430,430,430,430,0,0,0,0,0,0,0,0,0,0
ODR_022,EXPORT,Cust_017,SHP_014,ST_050,ST_001,ýýýýýýýýýýýý,100000,10/1/2025 0:00,11/1/2025 0:00,5000,430,430,450,430,430,430,450,0,0,0,0,0,0,0,0,0,0,0
Order25,IMPORT,SHP_003,Cust_011,ST_001,ST_033,ýýýýýýýýýýýýýýýýýýýýý,5000,9/24/2025 14:37,9/30/2025 14:37,1000,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order_1758724647505_7jip34o32,IMPORT,SHP_008,Cust_015,ST_001,ST_047,ýýýýýýýýýýýýýýýýýýýýý,2000,9/24/2025 14:37,9/30/2025 14:37,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order_26,IMPORT,SHP_008,Cust_010,ST_001,ST_032,ýýýýýýýýýýýý,3000,9/26/2025 7:08,9/27/2025 7:08,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order_27,IMPORT,SHP_005,Cust_010,ST_001,ST_032,ýýýýýýýýýýýý,3000,9/26/2025 7:08,9/27/2025 7:08,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
