ID,NAME,MAX CAP,MAX BARGE,MAX FUEL CON,TYPE,MIN SPEED,MAX SPEED,RPM,HP,STATUS,READY DATETIME,STATION,Latitude,Longitude,DistanceKm,LAT,LNG,KM
RiverTB_01,RiverTB_01_[K01],11000,4,30,RIVER,4,12,1200,380,RIVER,2025-01-30 04:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_02,RiverTB_02_[K02],10000,4,30,RIVER,4,12,1200,480,RIVER,2025-02-04 17:20:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_03,RiverTB_03_[K03],10000,4,0,RIVER,4,12,1200,480,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_04,RiverTB_04_[K04],10000,4,30,RIVER,4,12,1200,460,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_05,RiverTB_05_[K05],9000,4,30,RIVER,4,12,1200,500,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_06,RiverTB_06_[K06],11000,4,30,RIVER,4,12,1200,480,RIVER,2025-02-07 17:30:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_07,RiverTB_07_[K07],11000,4,0,RIVER,4,12,1200,480,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_08,RiverTB_08_[K08],9000,4,30,RIVER,4,12,1200,480,SEA,2025-01-20 07:40:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_09,RiverTB_09_[K10],14000,5,30,RIVER,4,12,1200,600,RIVER,2025-01-16 10:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_10,RiverTB_10_[K15],18000,4,30,RIVER,4,12,1200,480,RIVER,2025-01-31 06:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_11,RiverTB_11_[K16],14000,5,30,RIVER,4,12,1200,480,RIVER,2025-01-19 07:15:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_12,RiverTB_12_[K17],14000,5,30,RIVER,4,12,1200,480,RIVER,2025-01-30 06:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_13,RiverTB_13_[K18],14000,5,30,RIVER,4,12,1200,480,RIVER,2025-02-01 15:30:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_01,SeaTB_01_[K09],10000,4,35,SEA,4,12,1200,400,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_02,SeaTB_02_[K11],11000,5,30,SEA,4,12,1200,460,RIVER,2025-01-21 04:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_03,SeaTB_03_[K12],11000,5,65,SEA,4,12,1200,550,RIVER,2025-01-29 17:40:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_04,SeaTB_04_[K13],15000,5,30,SEA,4,12,1200,480,RIVER,2025-01-30 03:10:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_05,SeaTB_05_[K14],15000,4,35,SEA,4,12,1200,480,SEA,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_06,SeaTB_06_[W01],14000,5,65,SEA,4,12,1200,600,RIVER,2025-01-05 17:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_07,SeaTB_07_[W02],16000,6,65,SEA,4,12,1200,600,RIVER,2025-01-17 17:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_08,SeaTB_08_[W03],16000,6,65,SEA,4,12,1200,650,RIVER,2025-01-16 01:20:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_09,SeaTB_09_[W04],16000,6,65,SEA,4,12,1200,600,SEA,2025-01-18 16:15:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_10,SeaTB_10_[W05],16000,6,0,SEA,4,12,1200,700,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_11,SeaTB_11_[W06],16000,6,65,SEA,4,12,1200,600,SEA,2025-01-16 15:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_12,SeaTB_12_[W07],16000,6,65,SEA,4,12,1200,650,RIVER,2025-01-19 19:30:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_13,SeaTB_13_[W08],16000,6,0,SEA,4,12,1200,650,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_14,SeaTB_14_[W09],16000,6,0,SEA,4,12,1200,650,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
SeaTB_15,SeaTB_15_[W10],16000,6,65,SEA,4,12,1200,650,RIVER,2026-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
