ID,NAME,MAX CAP,MAX BARGE,MAX FUEL CON,TYPE,MIN SPEED,MAX SPEED,RPM,HP,STATUS,READY DATETIME,STATION,Latitude,Longitude,DistanceKm,LAT,LNG,KM
RiverTB_01,RiverTB_01_[K01],11000,4,50,RIVER,4,12,1200,380,RIVER,2025-01-01 08:00:00,ST_051,14.5035,100.631,171,14.5035,100.631,171
RiverTB_02,RiverTB_02_[K02],10000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_040,14.3515,100.582,150,14.3515,100.582,150
RiverTB_03,RiverTB_03_[K03],10000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_038,14.3297,100.575,147,14.3297,100.575,147
RiverTB_04,RiverTB_04_[K04],10000,4,60,RIVER,4,12,1200,460,RIVER,2025-01-01 08:00:00,ST_008,13.5877,100.585,15,13.5877,100.585,15
RiverTB_05,RiverTB_05_[K05],9000,4,70,RIVER,4,12,1200,500,RIVER,2025-01-01 08:00:00,ST_024,13.7436,100.49,59,13.7436,100.49,59
RiverTB_06,RiverTB_06_[K06],11000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_024,13.7436,100.49,59,13.7436,100.49,59
RiverTB_07,RiverTB_07_[K07],11000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_009,13.5954,100.594,16,13.5954,100.594,16
RiverTB_08,RiverTB_08_[K08],9000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_034,14.2013,100.517,125,14.2013,100.517,125
RiverTB_09,RiverTB_09_[K10],14000,5,80,RIVER,4,12,1200,600,RIVER,2025-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_10,RiverTB_10_[K15],18000,4,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_014,13.6273,100.545,24,13.6273,100.545,24
RiverTB_11,RiverTB_11_[K16],14000,5,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_009,13.5954,100.594,16,13.5954,100.594,16
RiverTB_12,RiverTB_12_[K17],14000,5,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_028,14.0269,100.539,99,14.0269,100.539,99
RiverTB_13,RiverTB_13_[K18],14000,5,60,RIVER,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_037,14.2996,100.566,144,14.2996,100.566,144
SeaTB_01,SeaTB_01_[K09],10000,4,60,SEA,4,12,1200,400,RIVER,2025-01-01 08:00:00,ST_009,13.5954,100.594,16,13.5954,100.594,16
SeaTB_02,SeaTB_02_[K11],11000,5,60,SEA,4,12,1200,460,RIVER,2025-01-01 08:00:00,ST_006,13.5535,100.577,11,13.5535,100.577,11
SeaTB_03,SeaTB_03_[K12],11000,5,60,SEA,4,12,1200,550,RIVER,2025-01-01 08:00:00,ST_009,13.5954,100.594,16,13.5954,100.594,16
SeaTB_04,SeaTB_04_[K13],15000,5,60,SEA,4,12,1200,480,RIVER,2025-01-01 08:00:00,ST_008,13.5877,100.585,15,13.5877,100.585,15
SeaTB_05,SeaTB_05_[K14],15000,4,60,SEA,4,12,1200,480,SEA,2025-01-01 08:00:00,ST_002,13.1677,100.837,40,13.1677,100.837,40
SeaTB_06,SeaTB_06_[W01],14000,5,60,SEA,4,12,1200,600,RIVER,2025-01-01 08:00:00,ST_013,13.6204,100.547,23,13.6204,100.547,23
SeaTB_07,SeaTB_07_[W02],16000,6,60,SEA,4,12,1200,600,RIVER,2025-01-01 08:00:00,ST_009,13.5954,100.594,16,13.5954,100.594,16
SeaTB_08,SeaTB_08_[W03],16000,6,60,SEA,4,12,1200,650,RIVER,2025-01-01 08:00:00,ST_008,13.5877,100.585,15,13.5877,100.585,15
SeaTB_09,SeaTB_09_[W04],16000,6,60,SEA,4,12,1200,600,SEA,2025-01-01 08:00:00,ST_001,13.1885,100.815,39,13.1885,100.815,39
SeaTB_10,SeaTB_10_[W05],16000,6,90,SEA,4,12,1200,700,RIVER,2025-01-01 08:00:00,ST_007,13.5724,100.569,13,13.5724,100.569,13
SeaTB_11,SeaTB_11_[W06],16000,6,60,SEA,4,12,1200,600,SEA,2025-01-01 08:00:00,ST_002,13.1677,100.837,40,13.1677,100.837,40
SeaTB_12,SeaTB_12_[W07],16000,6,80,SEA,4,12,1200,650,RIVER,2025-01-01 08:00:00,ST_008,13.5877,100.585,15,13.5877,100.585,15
SeaTB_13,SeaTB_13_[W08],16000,6,80,SEA,4,12,1200,650,RIVER,2025-01-01 08:00:00,ST_011,13.6104,100.567,21,13.6104,100.567,21
SeaTB_14,SeaTB_14_[W09],16000,6,80,SEA,4,12,1200,650,RIVER,2025-01-01 08:00:00,ST_006,13.5535,100.577,11,13.5535,100.577,11
SeaTB_15,SeaTB_15_[W10],16000,6,80,SEA,4,12,1200,650,RIVER,2025-01-01 08:00:00,ST_013,13.6204,100.547,23,13.6204,100.547,23
