ID,type,name,enter_datetime,start_arrival_datetime,exit_datetime,rest_time,distance,time,speed,type_point,order_trip,barge_ids,total_load,total_load_v2,order_distance,order_time,barge_speed,order_arrival_time,travel_info,station_id,tugboat_id,order_id,water_type
Start,Start,Start at ST_014,2025-02-08 17:00:00.000000,2025-02-08 17:00:00.000000,2025-02-08 17:00:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0,0,,ST_014,SeaTB_04,ODR_013,Sea
Barge,Barge Collection,Barge Location,2025-02-08 17:00:00.000000,2025-02-08 17:00:00.000000,2025-02-09 10:00:00.000000,0.0,63.0,0.0,12.0,main_point,1,"B_075,B_089,B_031,B_025",1600,0,0.0,0,0,2025-02-09 10:00:00,"{'travel_time': 0.0, 'last_location': (13.1885, 100.815), 'speed': 0, 'start_object': <CodeVS.components.carrier.Carrier object at 0x000001B74243CF20>, 'travel_distance': 0.0, 'travel_steps': [<CodeVS.operations.travel_helper.TravelStep object at 0x000001B7434A3DA0>], 'exit_datetime': datetime.datetime(2025, 2, 9, 10, 0)}",ST_014,SeaTB_04,ODR_013,Sea
Barge,Barge Step Collection,Collecting Barge - B_075 - (ST_014 to ST_001),2025-02-08 17:00:00.000000,2025-02-08 17:20:00.000000,2025-02-08 22:35:00.000000,0.3333333333333333,63.0,5.25,12.0,travel_point,1,B_075,400,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Barge,Barge Step Collection,Collecting Barge - B_089 - (ST_001 to ST_001),2025-02-08 22:35:00.000000,2025-02-08 22:55:00.000000,2025-02-08 22:55:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089",800,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Barge,Barge Step Collection,Collecting Barge - B_031 - (ST_001 to ST_001),2025-02-08 22:55:00.000000,2025-02-08 23:15:00.000000,2025-02-08 23:15:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031",1200,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Barge,Barge Step Collection,Collecting Barge - B_025 - (ST_001 to ST_001),2025-02-08 23:15:00.000000,2025-02-08 23:35:00.000000,2025-02-08 23:35:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_075,B_089,B_031,B_025",1600,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Travel To Carrier,SSI SPLENDID,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031,B_025",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Travel,Sea-Sea Empty Barges,ST_001 to ST_001,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,0.0,0.0,0.0,8.4144578313253,travel_point,1,"B_075,B_089,B_031,B_025",0,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Start Order Carrier,SSI SPLENDID,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 21:15:00.000000,0.0,0.0,0.0,0.0,main_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Crane-Carrier,cr4 - B_089,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 21:15:00.000000,0.0,0.0,11.25,280.0,loading_point,1,B_089,3150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Crane-Carrier,cr6 - B_031,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 20:44:26.666667,0.0,0.0,10.74074074074074,270.0,loading_point,1,B_031,2900,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Crane-Carrier,cr3 - B_075,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 19:36:55.384615,0.0,0.0,9.615384615384615,260.0,loading_point,1,B_075,2500,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ODR_013,Crane-Carrier,cr2 - B_025,2025-02-09 10:00:00.000000,2025-02-09 10:00:00.000000,2025-02-09 10:36:00.000000,0.0,0.0,0.6,250.0,loading_point,1,B_025,150,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
ST_014,Appointment,From SSI SPLENDID To Bang Hua Suea,2025-02-09 21:15:00.000000,2025-02-09 21:15:00.000000,2025-02-10 07:05:51.981788,0.0,62.21893992770459,9.847772719297256,6.3180722891566266,main_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_001 to ST_005,2025-02-09 21:15:00.000000,2025-02-09 21:15:00.000000,2025-02-10 03:17:56.924581,0.0,38.21893992770459,6.049145717008926,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_001,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_005 to ST_006,2025-02-10 03:17:56.924581,2025-02-10 03:17:56.924581,2025-02-10 05:02:24.659135,0.0,11.0,1.7410373760488176,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_005,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_006 to ST_007,2025-02-10 05:02:24.659135,2025-02-10 05:02:24.659135,2025-02-10 05:21:24.247236,0.0,2.0,0.3165522501906941,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_006,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_007 to ST_008,2025-02-10 05:21:24.247236,2025-02-10 05:21:24.247236,2025-02-10 05:40:23.835337,0.0,2.0,0.3165522501906941,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_007,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_008 to ST_009,2025-02-10 05:40:23.835337,2025-02-10 05:40:23.835337,2025-02-10 05:49:53.629387,0.0,1.0,0.15827612509534705,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_008,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_009 to ST_010,2025-02-10 05:49:53.629387,2025-02-10 05:49:53.629387,2025-02-10 06:27:52.805588,0.0,4.0,0.6331045003813882,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_009,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_010 to ST_011,2025-02-10 06:27:52.805588,2025-02-10 06:27:52.805588,2025-02-10 06:37:22.599638,0.0,1.0,0.15827612509534705,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_010,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_011 to ST_012,2025-02-10 06:37:22.599638,2025-02-10 06:37:22.599638,2025-02-10 06:46:52.393688,0.0,1.0,0.15827612509534705,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_011,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_012 to ST_013,2025-02-10 06:46:52.393688,2025-02-10 06:46:52.393688,2025-02-10 06:56:22.187738,0.0,1.0,0.15827612509534705,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_012,SeaTB_04,ODR_013,Sea
Travel,Sea-River Load Barges,ST_013 to ST_014,2025-02-10 06:56:22.187738,2025-02-10 06:56:22.187738,2025-02-10 07:05:51.981788,0.0,1.0,0.15827612509534705,6.3180722891566266,travel_point,1,"B_075,B_089,B_031,B_025",8700,0,0.0,0,0,0,,ST_013,SeaTB_04,ODR_013,Sea
