ID,type,name,enter_datetime,start_arrival_datetime,exit_datetime,rest_time,distance,time,speed,type_point,order_trip,barge_ids,total_load,total_load_v2,order_distance,order_time,barge_speed,order_arrival_time,travel_info,station_id,tugboat_id,order_id,water_type
Start,Start,Start at ST_045,2025-09-30 18:30:00.000000,2025-09-30 18:30:00.000000,2025-09-30 18:30:00.000000,0.0,0.0,0.0,0.0,main_point,1,,0,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
Barge,Barge Collection,Barge Location,2025-09-30 18:30:00.000000,2025-09-30 18:30:00.000000,2025-09-30 20:00:00.000000,0.0,0.0,4.0,12.0,main_point,1,"B_005,B_006,B_003,B_004",1600,0,12.0,0,3.0,2025-10-01 00:00:00,"{'travel_time': 4.0, 'last_location': (14.4951, 100.625), 'speed': 3.0, 'start_object': <CodeVS.components.customer.Customer object at 0x000001E4F86CD580>, 'travel_distance': 12.0, 'travel_steps': [<CodeVS.operations.travel_helper.TravelStep object at 0x000001E4F87FB590>, <CodeVS.operations.travel_helper.TravelStep object at 0x000001E4F87F8500>, <CodeVS.operations.travel_helper.TravelStep object at 0x000001E4F87FBEF0>, <CodeVS.operations.travel_helper.TravelStep object at 0x000001E4F87F92E0>, <CodeVS.operations.travel_helper.TravelStep object at 0x000001E4F87FB140>], 'exit_datetime': datetime.datetime(2025, 9, 30, 20, 0)}",ST_045,RiverTB_01,ODR_022,Sea
Barge,Barge Step Collection,Collecting Barge - B_005 - (ST_045 to ST_045),2025-09-30 18:30:00.000000,2025-09-30 18:50:00.000000,2025-09-30 18:50:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,B_005,400,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
Barge,Barge Step Collection,Collecting Barge - B_006 - (ST_045 to ST_045),2025-09-30 18:50:00.000000,2025-09-30 19:10:00.000000,2025-09-30 19:10:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_005,B_006",800,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
Barge,Barge Step Collection,Collecting Barge - B_003 - (ST_045 to ST_045),2025-09-30 19:10:00.000000,2025-09-30 19:30:00.000000,2025-09-30 19:30:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_005,B_006,B_003",1200,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
Barge,Barge Step Collection,Collecting Barge - B_004 - (ST_045 to ST_045),2025-09-30 19:30:00.000000,2025-09-30 19:50:00.000000,2025-09-30 19:50:00.000000,0.3333333333333333,0.0,0.0,0.0,travel_point,1,"B_005,B_006,B_003,B_004",1600,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
,Travel To Customer,customer17,2025-09-30 20:00:00.000000,2025-09-30 20:00:00.000000,2025-09-30 21:36:06.101696,0.0,12.0,1.6016949155555555,7.492063490654051,main_point,1,"B_005,B_006,B_003,B_004",0,0,0.0,0,0.0,0,,ST_050,RiverTB_01,ODR_022,Sea
Travel,River-River Empty Barges,ST_045 to ST_046,2025-09-30 20:00:00.000000,2025-09-30 20:00:00.000000,2025-09-30 20:08:00.508475,0.0,1.0,0.13347457627118645,7.492063492063492,travel_point,1,"B_005,B_006,B_003,B_004",1600,0,0.0,0,0.0,0,,ST_045,RiverTB_01,ODR_022,Sea
Travel,River-River Empty Barges,ST_046 to ST_047,2025-09-30 20:08:00.508475,2025-09-30 20:08:00.508475,2025-09-30 20:24:01.525424,0.0,2.0,0.2669491525423729,7.492063492063492,travel_point,1,"B_005,B_006,B_003,B_004",1600,0,0.0,0,0.0,0,,ST_046,RiverTB_01,ODR_022,Sea
Travel,River-River Empty Barges,ST_047 to ST_048,2025-09-30 20:24:01.525424,2025-09-30 20:24:01.525424,2025-09-30 20:32:02.033899,0.0,1.0,0.13347457627118645,7.492063492063492,travel_point,1,"B_005,B_006,B_003,B_004",1600,0,0.0,0,0.0,0,,ST_047,RiverTB_01,ODR_022,Sea
