ID,type,name,enter_datetime,exit_datetime,distance,time,speed,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start,30:00.0,1/12/2025 6:30,0,0,0,,,,,tbs1,o1,Sea
Barge,Barge,Barge Location,30:00.0,1/12/2025 7:30,0,0,12,3.278423357,0.331872213,9.878571429,00:00.0,tbs1,o1,Sea
o1,Start Order,carrier1,00:00.0,1/12/2025 16:45,3.278423357,,9.878571429,,,,,tbs1,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,15:00.0,1/13/2025 0:15,62.67749061,,8.164285714,,,,,tbs1,o1,Sea
Start,Start,Start,45:00.0,1/11/2025 17:45,0,0,0,,,,,tbs2,o1,Sea
Barge,Barge,Barge Location,00:00.0,1/12/2025 7:30,72.65642859,6.054702383,12,3.278423357,0.354947411,9.236363636,00:00.0,tbs2,o1,Sea
o1,Start Order,carrier1,00:00.0,1/12/2025 21:15,3.278423357,,9.236363636,,,,,tbs2,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,45:00.0,1/13/2025 13:45,62.67749061,,7.236363636,,,,,tbs2,o1,Sea
Start,Start,Start,45:00.0,1/11/2025 17:45,0,0,0,,,,,tbs4,o1,Sea
Barge,Barge,Barge Location,00:57.9,1/12/2025 7:30,67.65642859,6.150584418,11,3.278423357,0.387215357,8.466666667,00:00.0,tbs4,o1,Sea
o1,Start Order,carrier1,00:00.0,1/13/2025 4:30,3.278423357,,8.466666667,,,,,tbs4,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,45:00.0,1/13/2025 18:45,62.67749061,,6.633333333,,,,,tbs4,o1,Sea
Start,Start,Start,00:00.0,1/12/2025 6:00,0,0,0,,,,,tbs5,o1,Sea
Barge,Barge,Barge Location,00:00.0,1/12/2025 7:30,0,0,11,3.278423357,0.387215357,8.466666667,00:00.0,tbs5,o1,Sea
o1,Start Order,carrier1,00:00.0,1/13/2025 9:45,3.278423357,,8.466666667,,,,,tbs5,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,45:00.0,1/13/2025 18:45,62.67749061,,6.8,,,,,tbs5,o1,Sea
Start,Start,Start,15:00.0,1/12/2025 23:15,0,0,0,,,,,tbr1,o1,River
s2,Barge Change,3-Bang Hua Suea Pier,15:00.0,1/13/2025 1:15,72.65642859,7.265642859,10,,,,,tbr1,o1,River
s10,Customer Station,Wat Kai Tia Pier,56:48.7,1/16/2025 13:15,83,,6.059782609,,,,,tbr1,o1,River
Start,Start,Start,45:00.0,1/13/2025 4:45,0,0,0,,,,,tbr2,o1,River
s2,Barge Change,3-Bang Hua Suea Pier,45:00.0,1/13/2025 6:45,152.6564286,15.26564286,10,,,,,tbr2,o1,River
s10,Customer Station,Wat Kai Tia Pier,18:03.7,1/17/2025 9:30,83,,6.125,,,,,tbr2,o1,River
Start,Start,Start,45:00.0,1/13/2025 12:45,0,0,0,,,,,tbr3,o1,River
s2,Barge Change,3-Bang Hua Suea Pier,45:00.0,1/13/2025 14:45,72.65642859,7.648045115,9.5,,,,,tbr3,o1,River
