ID,type,name,enter_datetime,exit_datetime,distance,time,speed,type_point,order_trip,total_load,barge_ids,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start,1/12/25 6:30,1/12/25 6:30,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Collection,Barge Location,1/12/25 6:30,1/12/25 7:30,0,0,12,main_point,1,9500,"b1,b2,b3",3.278423357,0.331872213,9.878571429,1/12/2025 8:00,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b1,1/12/25 6:30,1/12/25 6:50,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b2,1/12/25 6:50,1/12/25 7:10,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b3,1/12/25 7:10,1/12/25 7:30,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Start Order,carrier1,1/12/25 8:00,1/12/25 16:45,3.278423357,,9.878571429,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr2 - b2,1/12/25 8:00,1/12/25 15:08,0,,420,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr1 - b1,1/12/25 8:00,1/12/25 14:15,0,,400,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr3 - b3,1/12/25 10:00,1/12/25 16:34,0,,380,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,1/13/25 0:15,1/13/25 0:15,62.67749061,7.677032971,8.164285714,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Start,Start,Start,1/13/25 0:15,1/13/25 0:15,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Collection,Barge Location,1/13/25 6:15,1/13/25 13:15,72.65642859,6.054702383,12,main_point,2,9500,"b29,b30,b41",3.278423357,0.331872213,9.878571429,1/13/2025 13:45,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b29,1/13/25 6:15,1/13/25 12:38,72.65642859,6.054702383,12,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b30,1/13/25 12:38,1/13/25 12:58,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b41,1/13/25 12:58,1/13/25 13:18,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Start Order,carrier1,1/13/25 13:45,1/13/25 21:00,3.278423357,,9.878571429,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr2 - b30,1/13/25 13:45,1/13/25 20:53,0,,420,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr1 - b29,1/13/25 13:45,1/13/25 20:00,0,,400,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr3 - b41,1/13/25 13:45,1/13/25 20:19,0,,380,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,1/14/25 4:30,1/15/25 1:45,62.67749061,,8.164285714,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Start,Start,Start,1/11/25 18:00,1/11/25 18:00,0,0,0,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
Barge,Barge Collection,Barge Location,1/12/25 0:15,1/12/25 7:30,72.65642859,6.054702383,12,main_point,1,13000,"b4,b5,b6,b7",3.278423357,0.354947411,9.236363636,1/12/2025 8:00,tbs2,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b4,1/12/25 0:15,1/12/25 6:38,72.65642859,6.054702383,12,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b5,1/12/25 6:38,1/12/25 6:58,0,0,0,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b6,1/12/25 6:58,1/12/25 7:18,0,0,0,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b7,1/12/25 7:18,1/12/25 7:38,0,0,0,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
o1,Start Order,carrier1,1/12/25 8:00,1/12/25 21:15,3.278423357,,9.236363636,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
o1,Crane-Carrier,cr5 - b4,1/12/25 8:00,1/12/25 16:20,0,,360,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
o1,Crane-Carrier,cr4 - b6,1/12/25 8:00,1/12/25 18:00,0,,300,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
o1,Crane-Carrier,cr1 - b5,1/12/25 12:15,1/12/25 18:30,0,,400,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
o1,Crane-Carrier,cr2 - b7,1/12/25 13:08,1/12/25 19:05,0,,420,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
