ID,type,name,enter_datetime,exit_datetime,distance,time,speed,type_point,order_trip,total_load,barge_ids,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start,30:00.0,30:00.0,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Collection,Barge Location,30:00.0,30:00.0,0,0,12,main_point,1,9500,"b1,b2,b3",3.278423357,0.331872213,9.878571429,1/12/2025 8:00,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b1,30:00.0,00:00.0,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b2,00:00.0,30:00.0,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b3,30:00.0,00:00.0,0,0,0,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Start Order,carrier1,00:00.0,45:00.0,3.278423357,,9.878571429,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr2 - b2,00:00.0,08:34.3,0,,420,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr1 - b1,00:00.0,15:00.0,0,,400,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr3 - b3,00:00.0,34:44.2,0,,380,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,15:00.0,15:00.0,62.67749061,,8.164285714,main_point,1,9500,"b1,b2,b3",,,,,tbs1,o1,Sea
Start,Start,Start,15:00.0,15:00.0,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Collection,Barge Location,15:00.0,15:00.0,59.65642859,4.971369049,12,main_point,2,9500,"b29,b30,b41",3.278423357,0.331872213,9.878571429,1/13/2025 12:45,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b29,15:00.0,45:00.0,59.65642859,4.971369049,12,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b30,45:00.0,15:00.0,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Barge,Barge Step Collection,Collecting Barge - b41,15:00.0,45:00.0,0,0,0,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Start Order,carrier1,45:00.0,00:00.0,3.278423357,,9.878571429,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr2 - b30,45:00.0,53:34.3,0,,420,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr1 - b29,45:00.0,00:00.0,0,,400,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
o1,Crane-Carrier,cr3 - b41,45:00.0,19:44.2,0,,380,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
s2,Appointment,3-Bang Hua Suea Pier,30:00.0,45:00.0,62.67749061,,8.164285714,main_point,2,9500,"b29,b30,b41",,,,,tbs1,o1,Sea
Start,Start,Start,15:00.0,15:00.0,0,0,0,main_point,1,13000,"b4,b5,b6,b7",,,,,tbs2,o1,Sea
