ID,type,name,enter_datetime,exit_datetime,rest_time,start_arrival_datetime,distance,time,speed,type_point,barge_ids,total_load,total_load_v2,order_distance,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start at ST_014,2025-01-30 03:15:00.000000,2025-01-30 03:15:00.000000,0,2025-01-30 03:15:00.000000,0.0,0.0,0.0,main_point,,0,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Barge,Barge Collection,Barge Location,2025-01-30 03:15:00.000000,2025-01-30 21:15:00.000000,0,2025-01-30 03:15:00.000000,66.5,0.0,12.0,main_point,"B_041,B_022,B_024,B_036",1600,0,0.0,0.0,2025-01-30 21:15:00,SeaTB_04,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_041 - (ST_014 to ST_001),2025-01-30 03:15:00.000000,2025-01-30 08:47:30.000000,0,2025-01-30 03:15:00.000000,66.5,5.541666666666667,12.0,travel_point,B_041,400,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_022 - (ST_001 to ST_001),2025-01-30 09:07:30.000000,2025-01-30 09:07:30.000000,0,2025-01-30 09:07:30.000000,0.0,0.0,0.0,travel_point,"B_041,B_022",800,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_024 - (ST_001 to ST_001),2025-01-30 09:27:30.000000,2025-01-30 09:27:30.000000,0,2025-01-30 09:27:30.000000,0.0,0.0,0.0,travel_point,"B_041,B_022,B_024",1200,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_036 - (ST_001 to ST_001),2025-01-30 09:47:30.000000,2025-01-30 09:47:30.000000,0,2025-01-30 09:47:30.000000,0.0,0.0,0.0,travel_point,"B_041,B_022,B_024,B_036",1600,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ODR_001,Start Order Carrier,SPAR CORONA,2025-01-30 21:15:00.000000,2025-01-31 09:45:00.000000,0,2025-01-30 21:15:00.000000,0.0,0.0,0.0,main_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ODR_001,Crane-Carrier,cr2 - B_041,2025-01-30 21:15:00.000000,2025-01-31 09:45:00.000000,0,2025-01-30 21:15:00.000000,0.0,12.5,280.0,loading_point,B_041,3500,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ODR_001,Crane-Carrier,cr3 - B_036,2025-01-30 21:15:00.000000,2025-01-31 08:51:25.714286,0,2025-01-30 21:15:00.000000,0.0,11.607142857142858,280.0,loading_point,B_036,3250,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ODR_001,Crane-Carrier,cr1 - B_022,2025-01-30 21:15:00.000000,2025-01-31 06:52:46.666667,0,2025-01-30 21:15:00.000000,0.0,9.62962962962963,270.0,loading_point,B_022,2600,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ODR_001,Crane-Carrier,cr7 - B_024,2025-01-30 21:15:00.000000,2025-01-31 06:52:46.666667,0,2025-01-30 21:15:00.000000,0.0,9.62962962962963,270.0,loading_point,B_024,2600,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
ST_014,Appointment,From SPAR CORONA To Bang Hua Suea,2025-01-31 09:45:00.000000,2025-01-31 20:59:28.043645,0,2025-01-31 09:45:00.000000,62.21893992770459,11.241123234652768,5.534939759036144,main_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_001 to ST_005,2025-01-31 09:45:00.000000,2025-01-31 16:39:18.117654,0,2025-01-31 09:45:00.000000,38.21893992770459,6.905032681757687,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_005 to ST_006,2025-01-31 16:39:18.117654,2025-01-31 18:38:32.667066,0,2025-01-31 16:39:18.117654,11.0,1.9873748367435788,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_006 to ST_007,2025-01-31 18:38:32.667066,2025-01-31 19:00:13.494232,0,2025-01-31 18:38:32.667066,2.0,0.3613408794079234,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_007 to ST_008,2025-01-31 19:00:13.494232,2025-01-31 19:21:54.321398,0,2025-01-31 19:00:13.494232,2.0,0.3613408794079234,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_008 to ST_009,2025-01-31 19:21:54.321398,2025-01-31 19:32:44.734981,0,2025-01-31 19:21:54.321398,1.0,0.1806704397039617,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
Travel,Sea-River,ST_009 to ST_010,2025-01-31 19:32:44.734981,2025-01-31 20:16:06.389313,0,2025-01-31 19:32:44.734981,4.0,0.7226817588158468,5.534939759036144,travel_point,"B_041,B_022,B_024,B_036",11950,0,0.0,0.0,0,SeaTB_04,ODR_001,Sea
