ID,type,name,enter_datetime,exit_datetime,distance,time,speed,type_point,order_trip,total_load,barge_ids,order_distance,order_time,barge_speed,order_arrival_time,tugboat_id,order_id,water_type
Start,Start,Start at ST_009,2025-01-12 22:00:00.000000,2025-01-12 22:00:00.000000,0.0,0.0,0.0,main_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Barge,Barge Collection,Barge Location,2025-01-12 22:00:00.000000,2025-01-13 09:00:00.000000,57.5,4.791666666666667,12.0,main_point,1,8300,"B_001,B_002,B_003,B_004",3.320028827621071,0.38667002410044604,8.586206896551724,2025-01-13 09:29:00,SeaTB_01,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_001 - (ST_009 to ST_002),2025-01-12 22:00:00.000000,2025-01-13 03:07:30.000000,57.5,4.791666666666667,12.0,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_002 - (ST_002 to ST_002),2025-01-13 03:07:30.000000,2025-01-13 03:27:30.000000,0.0,0.0,0.0,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_003 - (ST_002 to ST_002),2025-01-13 03:27:30.000000,2025-01-13 03:47:30.000000,0.0,0.0,0.0,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Barge,Barge Step Collection,Collecting Barge - B_004 - (ST_002 to ST_002),2025-01-13 03:47:30.000000,2025-01-13 04:07:30.000000,0.0,0.0,0.0,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
ODR_001,Start Order Carrier,M.V. BW CANOLA,2025-01-13 09:23:12.012087,2025-01-13 19:45:00.000000,3.320028827621071,0.38667002410044604,8.586206896551724,main_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
ODR_001,Crane-Carrier,cr2 - B_003,2025-01-13 09:29:00.000000,2025-01-13 19:39:42.857143,0.0,10.178571428571429,280.0,loading_point,1,2850,B_003,,,,,SeaTB_01,ODR_001,Sea
ODR_001,Crane-Carrier,cr3 - B_004,2025-01-13 09:29:00.000000,2025-01-13 19:39:42.857143,0.0,10.178571428571429,280.0,loading_point,1,2850,B_004,,,,,SeaTB_01,ODR_001,Sea
ODR_001,Crane-Carrier,cr1 - B_002,2025-01-13 09:29:00.000000,2025-01-13 14:40:06.666667,0.0,5.185185185185185,270.0,loading_point,1,1400,B_002,,,,,SeaTB_01,ODR_001,Sea
ODR_001,Crane-Carrier,cr7 - B_001,2025-01-13 09:29:00.000000,2025-01-13 13:55:40.000000,0.0,4.444444444444445,270.0,loading_point,1,1200,B_001,,,,,SeaTB_01,ODR_001,Sea
ST_014,Appointment,From M.V. BW CANOLA To Bang Hua Suea,2025-01-14 05:15:00.000000,2025-01-14 14:54:42.636298,62.21893992770459,9.661843415814902,6.439655172413794,main_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_001 to ST_005,2025-01-14 05:15:00.000000,2025-01-14 11:11:05.768827,38.21893992770459,5.934935785292814,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_005 to ST_006,2025-01-14 11:11:05.768827,2025-01-14 12:53:35.166417,11.0,1.7081659973226238,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_006 to ST_007,2025-01-14 12:53:35.166417,2025-01-14 13:12:13.238706,2.0,0.31057563587684067,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_007 to ST_008,2025-01-14 13:12:13.238706,2025-01-14 13:30:51.310995,2.0,0.31057563587684067,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_008 to ST_009,2025-01-14 13:30:51.310995,2025-01-14 13:40:10.347140,1.0,0.15528781793842034,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
Travel,Sea-River,ST_009 to ST_010,2025-01-14 13:40:10.347140,2025-01-14 14:17:26.491718,4.0,0.6211512717536813,6.439655172413794,travel_point,1,8300,"B_001,B_002,B_003,B_004",,,,,SeaTB_01,ODR_001,Sea
