load,distance,start_time,end_time,barge_id,order_id,capacity,tugboat_river_id,tugboat_sea_id
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b1,o1,2500,tbr1,
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b2,o1,3000,tbr1,
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b3,o1,2500,tbr1,
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b4,o1,3000,tbr2,
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b5,o1,2500,tbr2,
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b6,o1,3000,tbr2,
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b7,o1,2500,tbr3,
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b21,o1,2500,tbr3,tbs4
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b22,o1,3000,tbr3,tbs4
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b23,o1,2500,tbr4,tbs4
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b24,o1,3000,tbr4,tbs4
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b25,o1,2500,tbr4,tbs5
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b26,o1,3000,tbr5,tbs5
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b27,o1,2500,tbr5,tbs5
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b28,o1,3000,tbr5,tbs5
2500,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b29,o1,2500,tbr8,tbs1
3000,3.2784233567617305,2025-01-12 08:00:00,2025-01-16 18:00:00,b30,o1,3000,tbr8,tbs1
